Product,Old Target,New Target,Target Change,Old Revenue,New Revenue,Revenue Change,Old Freq Below,New Freq Below,Old Freq Above,New Freq Above,Old Margin,New Margin,Margin Change,Improved
Ergonomic Rubber Hat,2424,1724,-700,16339,16339,0,2,1,0,1,-5477,823,6300,YES
Sleek Copper Clock,2631,1581,-1050,9991,9991,0,3,1,0,2,-5795,505,6300,YES
Gorgeous Paper Hat,2883,2186,-697,20721,20721,0,2,1,0,1,-5226,1047,6273,YES
Ergonomic Plastic Bottle,2226,1443,-783,12153,12153,0,2,1,0,1,-5655,609,6264,YES
Awesome Plastic Computer,2439,1657,-782,13963,13963,0,2,1,0,1,-5549,707,6256,YES
Durable Silk Clock,2695,2071,-624,21810,21810,0,2,0,0,2,-5140,1100,6240,YES
Heavy Duty Silk Shirt,1858,1385,-473,18964,18964,0,4,2,0,2,-5190,959,6149,YES
Incredible Wooden Coat,3193,1982,-1211,10435,10435,0,1,0,0,1,-5530,525,6055,YES
Heavy Duty Wool Knife,3004,2402,-602,25295,25295,0,2,1,0,1,-4745,1275,6020,YES
Small Copper Knife,2389,1731,-658,16415,16415,0,2,1,0,1,-5086,836,5922,YES
Lightweight Wool Bag,2671,1497,-1174,7880,7880,0,2,1,0,1,-5475,395,5870,YES
Sleek Marble Table,2379,1402,-977,8859,8859,0,2,1,0,1,-5415,447,5862,YES
Synergistic Copper Pants,2155,1573,-582,16562,16562,0,3,1,0,2,-4988,832,5820,YES
Gorgeous Leather Shirt,2299,1142,-1157,6015,6015,0,1,0,0,1,-5480,305,5785,YES
Heavy Duty Wooden Computer,2824,2103,-721,17713,17713,0,2,0,0,2,-4879,889,5768,YES
Incredible Granite Keyboard,2119,1480,-639,14027,14027,0,2,1,0,1,-5044,707,5751,YES
Gorgeous Steel Pants,2430,1717,-713,14466,14466,0,3,2,0,1,-4974,730,5704,YES
Practical Granite Shoes,3157,2029,-1128,10680,10680,0,1,0,0,1,-5105,535,5640,YES
Fantastic Plastic Hat,2143,1636,-507,18961,18961,0,3,1,0,2,-4612,965,5577,YES
Practical Linen Shirt,2369,1270,-1099,6685,6685,0,2,0,0,2,-5160,335,5495,YES
Synergistic Bronze Shoes,2432,1887,-545,19875,19875,0,2,1,0,1,-4445,1005,5450,YES
Ergonomic Cotton Bottle,2459,1552,-907,9806,9806,0,2,0,0,2,-4948,494,5442,YES
Synergistic Steel Gloves,2131,1355,-776,9995,9995,0,3,0,0,3,-4922,510,5432,YES
Aerodynamic Rubber Hat,2262,1769,-493,20493,20493,0,3,2,0,1,-4389,1034,5423,YES
Gorgeous Iron Shoes,2418,1335,-1083,7030,7030,0,1,0,0,1,-5060,355,5415,YES
Enormous Silk Lamp,2866,1805,-1061,9500,9500,0,2,1,0,1,-4830,475,5305,YES
Durable Cotton Pants,2652,2069,-583,19603,19603,0,3,1,0,2,-4265,982,5247,YES
Practical Bronze Shoes,2156,1505,-651,12685,12685,0,3,1,0,2,-4563,645,5208,YES
Durable Marble Lamp,2517,1477,-1040,7775,7775,0,1,0,0,1,-4810,390,5200,YES
Heavy Duty Iron Knife,2714,1419,-1295,5976,5976,0,2,0,0,2,-4880,300,5180,YES
Sleek Copper Pants,2889,1863,-1026,9435,9435,0,1,0,0,1,-5010,120,5130,YES
Small Cotton Coat,2954,2102,-852,13282,13282,0,2,1,0,1,-4442,670,5112,YES
Gorgeous Aluminum Chair,3020,1999,-1021,10525,10525,0,1,0,0,1,-4575,530,5105,YES
Ergonomic Linen Coat,1915,1186,-729,8747,8747,0,2,1,0,1,-4658,445,5103,YES
Practical Wooden Plate,2416,1689,-727,12449,12449,0,2,0,0,2,-4463,626,5089,YES
Durable Linen Coat,3142,2507,-635,21116,21116,0,2,1,0,1,-4020,1060,5080,YES
Ergonomic Rubber Car,2234,1727,-507,18185,18185,0,2,1,0,1,-4155,915,5070,YES
Fantastic Granite Lamp,2710,1697,-1013,8935,8935,0,1,0,0,1,-4615,450,5065,YES
Sleek Wool Coat,2221,1765,-456,20447,20447,0,3,1,0,2,-3984,1032,5016,YES
Incredible Steel Bottle,2288,1288,-1000,6782,6782,0,2,0,0,2,-4658,342,5000,YES
Aerodynamic Aluminum Coat,2518,1529,-989,7835,7835,0,1,0,0,1,-4755,190,4945,YES
Enormous Silk Bag,2341,1115,-1226,4520,4520,0,1,0,0,1,-4844,60,4904,YES
Heavy Duty Steel Plate,2575,1875,-700,13822,13822,0,2,0,0,2,-4203,697,4900,YES
Awesome Copper Shirt,2714,2022,-692,14909,14909,0,2,0,0,2,-4089,755,4844,YES
Rustic Plastic Clock,2458,1853,-605,15612,15612,0,2,1,0,1,-4052,788,4840,YES
Enormous Plastic Knife,2427,1464,-963,7710,7710,0,1,0,0,1,-4425,390,4815,YES
Intelligent Bronze Chair,2110,1575,-535,14929,14929,0,2,0,0,2,-4061,754,4815,YES
Rustic Bronze Shoes,2844,2160,-684,15918,15918,0,2,1,0,1,-3990,798,4788,YES
Incredible Cotton Bag,2569,1615,-954,8505,8505,0,1,0,0,1,-4340,430,4770,YES
Aerodynamic Plastic Clock,2477,1953,-524,18511,18511,0,3,0,0,3,-3782,934,4716,YES
Small Leather Bag,2893,1727,-1166,7275,7275,0,2,1,0,1,-4297,367,4664,YES
Practical Aluminum Shoes,3031,2108,-923,11099,11099,0,2,1,0,1,-4056,559,4615,YES
Mediocre Aluminum Pants,2746,1594,-1152,6712,6712,0,1,0,0,1,-4272,336,4608,YES
Lightweight Paper Car,2671,1751,-920,9025,9025,0,1,0,0,1,-4330,270,4600,YES
Gorgeous Steel Shirt,2089,1630,-459,17168,17168,0,3,1,0,2,-3722,868,4590,YES
Incredible Bronze Clock,2632,1487,-1145,6264,6264,0,1,0,0,1,-4264,316,4580,YES
Rustic Plastic Shoes,2427,1519,-908,7995,7995,0,1,0,0,1,-4140,400,4540,YES
Fantastic Cotton Table,2084,1438,-646,10599,10599,0,2,0,0,2,-3989,533,4522,YES
Gorgeous Iron Clock,2967,2466,-501,23365,23365,0,3,3,1,1,-3338,1171,4509,YES
Intelligent Leather Table,2878,1751,-1127,7378,7378,0,2,1,0,1,-4134,374,4508,YES
Awesome Linen Shirt,2029,1129,-900,5945,5945,0,1,0,0,1,-4200,300,4500,YES
Intelligent Leather Pants,3015,1533,-1482,4680,4680,0,1,0,0,1,-4365,81,4446,YES
Incredible Plastic Hat,2802,1919,-883,10105,10105,0,1,0,0,1,-3905,510,4415,YES
Practical Steel Wallet,3039,2159,-880,11368,11368,0,2,0,0,2,-3827,573,4400,YES
Aerodynamic Marble Plate,2570,1691,-879,8900,8900,0,1,0,0,1,-3950,445,4395,YES
Gorgeous Marble Clock,1945,1458,-487,13820,13820,0,2,1,0,1,-3685,698,4383,YES
Enormous Plastic Clock,3039,1944,-1095,8190,8190,0,2,0,0,2,-3966,414,4380,YES
Mediocre Silk Computer,3004,2134,-870,11235,11235,0,1,0,0,1,-3785,565,4350,YES
Small Silk Pants,3227,2140,-1087,9012,9012,0,1,0,0,1,-3896,452,4348,YES
Enormous Concrete Chair,3107,2486,-621,18319,18319,0,2,1,0,1,-3430,917,4347,YES
Synergistic Steel Bag,2423,1881,-542,15844,15844,0,2,1,0,1,-3540,796,4336,YES
Mediocre Marble Watch,2285,1425,-860,7505,7505,0,1,0,0,1,-3920,380,4300,YES
Mediocre Wooden Chair,3297,2224,-1073,9368,9368,0,1,0,0,1,-3820,472,4292,YES
Sleek Steel Gloves,2765,2052,-713,12970,12970,0,2,0,0,2,-3620,658,4278,YES
Awesome Leather Bench,2289,1576,-713,9957,9957,0,2,0,0,2,-3777,501,4278,YES
Small Aluminum Shoes,3395,1976,-1419,5967,5967,0,1,0,0,1,-4218,39,4257,YES
Awesome Cotton Shoes,2310,1254,-1056,5280,5280,0,1,0,0,1,-3960,264,4224,YES
Ergonomic Marble Clock,2168,1324,-844,6630,6630,0,1,0,0,1,-4210,10,4220,YES
Lightweight Copper Clock,2976,1924,-1052,8105,8105,0,2,1,0,1,-3799,409,4208,YES
Rustic Steel Table,2295,1694,-601,12488,12488,0,2,1,0,1,-3577,630,4207,YES
Awesome Rubber Bench,2590,1754,-836,9235,9235,0,1,0,0,1,-3715,465,4180,YES
Rustic Concrete Hat,3088,2255,-833,11870,11870,0,1,0,0,1,-3570,595,4165,YES
Small Wooden Table,3023,1984,-1039,8356,8356,0,1,0,0,1,-3736,420,4156,YES
Rustic Copper Knife,2712,2195,-517,18491,18491,0,2,0,0,2,-3205,931,4136,YES
Practical Concrete Bench,2565,1540,-1025,6244,6244,0,1,0,0,1,-4016,84,4100,YES
Fantastic Wool Wallet,2761,1396,-1365,4266,4266,0,1,0,0,1,-4017,78,4095,YES
Awesome Linen Watch,2941,2532,-409,26660,26660,0,2,0,0,2,-2750,1340,4090,YES
Enormous Silk Bag,2827,1805,-1022,7600,7600,0,2,0,0,2,-3708,380,4088,YES
Lightweight Aluminum Pants,2785,2105,-680,13298,13298,0,2,0,0,2,-3412,668,4080,YES
Fantastic Marble Lamp,1962,1452,-510,12238,12238,0,2,0,0,2,-3458,622,4080,YES
Heavy Duty Plastic Lamp,2121,1102,-1019,4643,4643,0,2,1,0,1,-3841,235,4076,YES
Aerodynamic Wool Shirt,2932,2119,-813,11157,11157,0,2,1,0,1,-3503,562,4065,YES
Ergonomic Concrete Knife,3233,2897,-336,36604,36604,0,3,1,1,3,-2192,1840,4032,YES
Durable Silk Shoes,3073,2408,-665,15210,15210,0,2,1,0,1,-3228,762,3990,YES
Durable Marble Shoes,2633,1836,-797,9665,9665,0,1,0,0,1,-3500,485,3985,YES
Mediocre Bronze Table,2637,1843,-794,9702,9702,0,2,1,0,1,-3483,487,3970,YES
Gorgeous Leather Watch,2797,1805,-992,7600,7600,0,1,0,0,1,-3588,380,3968,YES
Sleek Copper Shirt,2761,1445,-1316,4566,4566,0,1,0,0,1,-3717,231,3948,YES
Durable Wool Clock,2123,1634,-489,13774,13774,0,2,1,0,1,-3210,702,3912,YES
Mediocre Copper Gloves,2966,1989,-977,8376,8376,0,1,0,0,1,-3488,420,3908,YES
Enormous Cotton Coat,1850,1362,-488,11474,11474,0,2,1,0,1,-3326,578,3904,YES
Practical Copper Shirt,2366,1717,-649,10850,10850,0,2,0,0,2,-3346,548,3894,YES
Enormous Cotton Bench,2850,2201,-649,13905,13905,0,2,1,0,1,-3195,699,3894,YES
Small Iron Watch,2447,1478,-969,6224,6224,0,1,0,0,1,-3564,312,3876,YES
Synergistic Bronze Table,3017,1735,-1282,5481,5481,0,1,0,0,1,-3570,276,3846,YES
Durable Cotton Car,2837,2070,-767,10895,10895,0,1,0,0,1,-3290,545,3835,YES
Durable Wooden Clock,2529,1577,-952,6643,6643,0,3,1,0,2,-3473,335,3808,YES
Ergonomic Granite Bench,2103,1342,-761,7065,7065,0,1,0,0,1,-3450,355,3805,YES
Practical Copper Keyboard,2503,1743,-760,9175,9175,0,1,0,0,1,-3340,460,3800,YES
Heavy Duty Leather Pants,3257,1991,-1266,6288,6288,0,1,0,0,1,-3483,315,3798,YES
Lightweight Marble Lamp,2684,1925,-759,10135,10135,0,1,0,0,1,-3285,510,3795,YES
Heavy Duty Concrete Plate,2736,1981,-755,10430,10430,0,1,0,0,1,-3250,525,3775,YES
Heavy Duty Bronze Plate,2265,1327,-938,5392,5392,0,1,0,0,1,-3668,84,3752,YES
Gorgeous Wool Table,3304,2560,-744,13477,13477,0,2,1,0,1,-3043,677,3720,YES
Lightweight Wool Hat,2408,1177,-1231,3717,3717,0,1,0,0,1,-3507,186,3693,YES
Enormous Granite Car,2412,1676,-736,8825,8825,0,2,0,0,2,-3235,445,3680,YES
Durable Steel Bottle,2199,1674,-525,12346,12346,0,2,1,0,1,-3047,628,3675,YES
Fantastic Wooden Computer,2177,1261,-916,5312,5312,0,1,0,0,1,-3396,268,3664,YES
Fantastic Plastic Pants,3045,2133,-912,8984,8984,0,1,0,0,1,-3196,452,3648,YES
Ergonomic Iron Pants,2239,1631,-608,10306,10306,0,2,0,0,2,-3128,520,3648,YES
Awesome Cotton Coat,2322,1714,-608,10832,10832,0,2,0,0,2,-3100,548,3648,YES
Lightweight Wooden Plate,2320,1592,-728,8380,8380,0,1,0,0,1,-3220,420,3640,YES
Heavy Duty Copper Clock,2713,1807,-906,7612,7612,0,2,1,0,1,-3240,384,3624,YES
Rustic Plastic Chair,2647,1439,-1208,4547,4547,0,2,0,0,2,-3394,230,3624,YES
Enormous Silk Table,3278,2071,-1207,6540,6540,0,1,0,0,1,-3294,327,3621,YES
Sleek Concrete Keyboard,3225,2503,-722,13175,13175,0,1,0,0,1,-2950,660,3610,YES
Synergistic Aluminum Pants,2308,1409,-899,5936,5936,0,1,0,0,1,-3296,300,3596,YES
Incredible Rubber Gloves,2658,1763,-895,7424,7424,0,1,0,0,1,-3208,372,3580,YES
Mediocre Aluminum Wallet,2802,1911,-891,8048,8048,0,1,0,0,1,-3160,404,3564,YES
Mediocre Steel Chair,2871,1981,-890,8344,8344,0,1,0,0,1,-3140,420,3560,YES
Fantastic Wool Table,2477,1601,-876,6744,6744,0,1,0,0,1,-3164,340,3504,YES
Incredible Cotton Car,2454,2066,-388,19576,19576,0,3,0,0,3,-2510,982,3492,YES
Synergistic Marble Car,2339,1905,-434,16048,16048,0,3,1,0,2,-2664,808,3472,YES
Gorgeous Wool Gloves,2918,2629,-289,33224,33224,0,4,3,1,2,-1792,1676,3468,YES
Awesome Rubber Bag,1907,1523,-384,14441,14441,0,2,1,0,1,-2722,734,3456,YES
Synergistic Wooden Coat,1827,1136,-691,5980,5980,0,1,0,0,1,-3155,300,3455,YES
Fantastic Aluminum Wallet,2534,1391,-1143,4395,4395,0,1,0,0,1,-3207,222,3429,YES
Incredible Wooden Lamp,2524,1842,-682,9695,9695,0,1,0,0,1,-2925,485,3410,YES
Intelligent Linen Clock,1967,1724,-243,25422,25422,0,3,2,1,2,-2116,1286,3402,YES
Awesome Concrete Computer,2343,1216,-1127,3840,3840,0,1,0,0,1,-3189,192,3381,YES
Small Plastic Keyboard,3259,2416,-843,10176,10176,0,1,0,0,1,-2860,512,3372,YES
Durable Aluminum Hat,2506,1832,-674,9645,9645,0,1,0,0,1,-2885,485,3370,YES
Rustic Paper Table,2885,2044,-841,8608,8608,0,1,0,0,1,-2932,432,3364,YES
Practical Plastic Bench,3209,2931,-278,37032,37032,0,4,4,1,1,-1476,1860,3336,YES
Mediocre Iron Gloves,2054,1222,-832,5148,5148,0,1,0,0,1,-3068,260,3328,YES
Aerodynamic Paper Shoes,2116,1641,-475,12096,12096,0,2,1,0,1,-2716,609,3325,YES
Enormous Paper Lamp,2079,1414,-665,7445,7445,0,2,0,0,2,-2950,375,3325,YES
Lightweight Bronze Bench,2719,1615,-1104,5100,5100,0,1,0,0,1,-3057,255,3312,YES
Awesome Plastic Keyboard,2503,1842,-661,9698,9698,0,2,1,0,1,-2817,488,3305,YES
Synergistic Concrete Bottle,2959,2301,-658,12115,12115,0,1,0,0,1,-2680,610,3290,YES
Sleek Aluminum Shoes,2537,2127,-410,17912,17912,0,2,1,0,1,-2384,896,3280,YES
Lightweight Iron Watch,2509,2041,-468,15049,15049,0,3,1,0,2,-2514,762,3276,YES
Awesome Plastic Bottle,3104,2455,-649,12925,12925,0,1,0,0,1,-2595,650,3245,YES
Ergonomic Rubber Shirt,2521,1710,-811,7204,7204,0,1,0,0,1,-2880,364,3244,YES
Enormous Plastic Wallet,2667,2204,-463,16246,16246,0,2,1,0,1,-2423,818,3241,YES
Mediocre Wooden Coat,3098,2293,-805,9656,9656,0,1,0,0,1,-2736,484,3220,YES
Synergistic Silk Bag,1756,1436,-320,15122,15122,0,3,1,0,2,-2438,762,3200,YES
Intelligent Leather Keyboard,2498,1698,-800,7152,7152,0,1,0,0,1,-2840,360,3200,YES
Small Wooden Clock,3226,2431,-795,10236,10236,0,2,0,0,2,-2668,512,3180,YES
Rustic Silk Computer,2552,2325,-227,34273,34273,0,3,2,1,2,-1455,1723,3178,YES
Small Linen Shoes,2292,1841,-451,13566,13566,0,2,1,0,1,-2478,679,3157,YES
Gorgeous Plastic Wallet,1806,1355,-451,9993,9993,0,2,0,0,2,-2649,508,3157,YES
Enormous Marble Coat,3335,2810,-525,17750,17750,0,2,1,0,1,-2260,890,3150,YES
Rustic Marble Coat,2572,1524,-1048,4815,4815,0,1,0,0,1,-2901,243,3144,YES
Intelligent Wooden Table,2820,2193,-627,11546,11546,0,2,1,0,1,-2554,581,3135,YES
Fantastic Wooden Bag,2943,2162,-781,9104,9104,0,1,0,0,1,-2668,456,3124,YES
Durable Plastic Car,2988,1955,-1033,6174,6174,0,1,0,0,1,-2790,309,3099,YES
Ergonomic Iron Wallet,3008,2566,-442,18920,18920,0,2,0,0,2,-2136,958,3094,YES
Fantastic Granite Chair,2494,1877,-617,9880,9880,0,1,0,0,1,-2590,495,3085,YES
Ergonomic Wooden Clock,2641,1615,-1026,5103,5103,0,1,0,0,1,-2820,258,3078,YES
Fantastic Steel Table,2476,1463,-1013,4620,4620,0,1,0,0,1,-2808,231,3039,YES
Lightweight Marble Car,2528,1518,-1010,4671,4671,0,1,0,0,1,-2913,117,3030,YES
Awesome Rubber Keyboard,2609,1852,-757,7802,7802,0,2,1,0,1,-2634,394,3028,YES
Small Concrete Watch,2352,2100,-252,26533,26533,0,3,1,0,2,-1691,1333,3024,YES
Awesome Wool Bag,2653,2149,-504,13578,13578,0,2,0,0,2,-2340,684,3024,YES
Synergistic Granite Bag,2864,2261,-603,11905,11905,0,1,0,0,1,-2415,600,3015,YES
Sleek Silk Computer,2693,1940,-753,8174,8174,0,2,1,0,1,-2598,414,3012,YES
Intelligent Wool Gloves,3026,2424,-602,12760,12760,0,1,0,0,1,-2370,640,3010,YES
Ergonomic Paper Clock,2371,1770,-601,9320,9320,0,1,0,0,1,-2535,470,3005,YES
Small Paper Lamp,2321,1892,-429,13944,13944,0,2,1,0,1,-2303,700,3003,YES
Aerodynamic Wooden Chair,2563,1964,-599,10340,10340,0,2,0,0,2,-2475,520,2995,YES
Awesome Aluminum Plate,2330,1733,-597,9125,9125,0,1,0,0,1,-2525,460,2985,YES
Incredible Leather Keyboard,2508,1514,-994,4782,4782,0,1,0,0,1,-2742,240,2982,YES
Fantastic Wool Gloves,3144,2718,-426,20039,20039,0,2,0,0,2,-1969,1013,2982,YES
Sleek Aluminum Shirt,1830,1582,-248,19992,19992,0,3,1,1,3,-1968,1008,2976,YES
Ergonomic Silk Knife,2998,2255,-743,9496,9496,0,1,0,0,1,-2496,476,2972,YES
Incredible Plastic Coat,2269,1779,-490,11240,11240,0,2,0,0,2,-2374,566,2940,YES
Enormous Leather Knife,1722,1512,-210,22297,22297,0,3,1,1,3,-1811,1129,2940,YES
Fantastic Leather Plate,2644,1675,-969,5133,5133,0,1,0,0,1,-2799,108,2907,YES
Awesome Granite Coat,2506,2023,-483,12782,12782,0,2,0,0,2,-2254,644,2898,YES
Fantastic Wool Bag,2530,1570,-960,4734,4734,0,1,0,0,1,-2856,24,2880,YES
Aerodynamic Iron Chair,2731,2156,-575,11350,11350,0,2,1,0,1,-2305,570,2875,YES
Practical Concrete Keyboard,2183,1963,-220,26871,26871,0,4,0,0,4,-1508,1352,2860,YES
Enormous Plastic Car,2244,1530,-714,6444,6444,0,2,1,0,1,-2532,324,2856,YES
Lightweight Wooden Wallet,2355,1404,-951,4436,4436,0,2,1,0,1,-2629,224,2853,YES
Rustic Leather Wallet,2654,2339,-315,22173,22173,0,2,0,0,2,-1713,1122,2835,YES
Enormous Rubber Bottle,2783,2311,-472,14598,14598,0,2,1,0,1,-2100,732,2832,YES
Durable Iron Wallet,2909,2208,-701,9303,9303,0,2,0,0,2,-2333,471,2804,YES
Durable Wooden Keyboard,2433,2035,-398,15006,15006,0,2,0,0,2,-2025,761,2786,YES
Heavy Duty Granite Gloves,2725,2264,-461,14309,14309,0,2,1,0,1,-2041,725,2766,YES
Small Granite Shoes,2834,1917,-917,6054,6054,0,1,0,0,1,-2448,303,2751,YES
Enormous Aluminum Bench,2002,1452,-550,7645,7645,0,1,0,0,1,-2365,385,2750,YES
Durable Wooden Shoes,2944,2028,-916,6405,6405,0,1,0,0,1,-2427,321,2748,YES
Sleek Wool Bottle,2856,2307,-549,12145,12145,0,1,0,0,1,-2135,610,2745,YES
Practical Wool Wallet,2258,1710,-548,9000,9000,0,1,0,0,1,-2290,450,2740,YES
Practical Aluminum Pants,2864,2321,-543,12220,12220,0,1,0,0,1,-2100,615,2715,YES
Heavy Duty Plastic Gloves,3164,2262,-902,7146,7146,0,1,0,0,1,-2346,360,2706,YES
Ergonomic Bronze Pants,2547,2010,-537,10583,10583,0,2,1,0,1,-2152,533,2685,YES
Mediocre Wooden Lamp,2035,1700,-335,14321,14321,0,3,1,0,2,-1959,721,2680,YES
Practical Steel Shoes,2763,1876,-887,5925,5925,0,1,0,0,1,-2364,297,2661,YES
Gorgeous Silk Keyboard,2828,2297,-531,12090,12090,0,1,0,0,1,-2050,605,2655,YES
Practical Wooden Shoes,2013,1634,-379,12045,12045,0,2,0,0,2,-2046,607,2653,YES
Sleek Leather Car,2549,1227,-1322,2584,2584,0,1,0,0,1,-2514,130,2644,YES
Intelligent Iron Bag,2502,1850,-652,7792,7792,0,1,0,0,1,-2216,392,2608,YES
Practical Rubber Plate,2635,1767,-868,5585,5585,0,2,1,0,1,-2320,284,2604,YES
Intelligent Silk Bench,2916,2396,-520,12615,12615,0,1,0,0,1,-1965,635,2600,YES
Gorgeous Paper Clock,3106,2673,-433,16884,16884,0,2,0,0,2,-1752,846,2598,YES
Awesome Plastic Shoes,2067,1419,-648,5976,5976,0,1,0,0,1,-2292,300,2592,YES
Ergonomic Granite Chair,2638,1990,-648,8380,8380,0,3,2,0,1,-2172,420,2592,YES
Durable Concrete Watch,2726,2295,-431,14499,14499,0,2,0,0,2,-1857,729,2586,YES
Mediocre Bronze Bottle,2931,2290,-641,9644,9644,0,1,0,0,1,-2080,484,2564,YES
Rustic Aluminum Bench,2430,1919,-511,10105,10105,0,1,0,0,1,-2045,510,2555,YES
Mediocre Rubber Shoes,3325,2815,-510,14820,14820,0,1,0,0,1,-1805,745,2550,YES
Enormous Plastic Bench,2706,2282,-424,14423,14423,0,2,1,0,1,-1813,731,2544,YES
Practical Wooden Knife,1856,1540,-316,12980,12980,0,2,0,0,2,-1868,660,2528,YES
Enormous Linen Pants,1868,1509,-359,11127,11127,0,2,0,0,2,-1949,564,2513,YES
Mediocre Steel Gloves,2759,1923,-836,6075,6075,0,1,0,0,1,-2202,306,2508,YES
Heavy Duty Copper Pants,2327,1701,-626,7164,7164,0,1,0,0,1,-2144,360,2504,YES
Practical Aluminum Shoes,2301,1467,-834,4635,4635,0,1,0,0,1,-2268,234,2502,YES
Aerodynamic Cotton Gloves,2449,1619,-830,5115,5115,0,1,0,0,1,-2232,258,2490,YES
Small Rubber Hat,2778,1535,-1243,3104,3104,0,1,0,0,1,-2452,34,2486,YES
Aerodynamic Wool Watch,2633,2014,-619,8484,8484,0,1,0,0,1,-2048,428,2476,YES
Gorgeous Wooden Bench,3269,2651,-618,11164,11164,0,1,0,0,1,-1912,560,2472,YES
Incredible Bronze Chair,2083,1591,-492,8375,8375,0,1,0,0,1,-2040,420,2460,YES
Durable Cotton Watch,2950,2130,-820,6729,6729,0,1,0,0,1,-2121,339,2460,YES
Fantastic Wool Plate,2825,1604,-1221,3378,3378,0,1,0,0,1,-2272,170,2442,YES
Sleek Bronze Computer,1959,1611,-348,11872,11872,0,2,1,0,1,-1841,595,2436,YES
Fantastic Wool Pants,3045,2558,-487,13465,13465,0,1,0,0,1,-1760,675,2435,YES
Intelligent Wooden Computer,2315,1828,-487,9625,9625,0,1,0,0,1,-1950,485,2435,YES
Aerodynamic Paper Pants,2720,1909,-811,6030,6030,0,1,0,0,1,-2130,303,2433,YES
Lightweight Cotton Bag,2537,2134,-403,13485,13485,0,2,1,0,1,-1737,681,2418,YES
Lightweight Rubber Bottle,2542,1938,-604,8164,8164,0,1,0,0,1,-2004,412,2416,YES
Intelligent Steel Table,2164,1762,-402,11130,11130,0,2,1,0,1,-1854,558,2412,YES
